GroupID,DuplicateType,BookID,Title,Author,Maktaba,Category,PageCount
13,Title Variant / Disambiguated (2),100571,04 تق تقريظ الشيخ ربيع بن هادي للمنظومات الحسان للشيخ زيد المدخلي - part 5,,Maktaba Shamela,General,333
14,Title Variant / Disambiguated (2),92237,040 م شكر الشيخ العلامة ربيع المدخلي لمشرف موقعه - part 1,,Maktaba Shamela,General,413
14,Title Variant / Disambiguated (2),92238,040 م شكر الشيخ العلامة ربيع المدخلي لمشرف موقعه - part 2,,Maktaba Shamela,General,440
14,Title Variant / Disambiguated (2),92239,040 م شكر الشيخ العلامة ربيع المدخلي لمشرف موقعه - part 3,,Maktaba Shamela,General,363
14,Title Variant / Disambiguated (2),92240,040 م شكر الشيخ العلامة ربيع المدخلي لمشرف موقعه - part 4,,Maktaba Shamela,General,375
15,Title Variant / Disambiguated (2),43509,05 تق تقريظ لرسالة الشيخ البرجس إيقاف النبيل على حكم التمثيل - part 1,,Maktaba Shamela,General,500
15,Title Variant / Disambiguated (2),43510,05 تق تقريظ لرسالة الشيخ البرجس إيقاف النبيل على حكم التمثيل - part 2,,Maktaba Shamela,General,103
15,Title Variant / Disambiguated (2),43511,05 تق تقريظ لرسالة الشيخ البرجس إيقاف النبيل على حكم التمثيل - part 3,,Maktaba Shamela,General,53
15,Title Variant / Disambiguated (2),43512,05 تق تقريظ لرسالة الشيخ البرجس إيقاف النبيل على حكم التمثيل - part 4,,Maktaba Shamela,General,500
15,Title Variant / Disambiguated (2),43513,05 تق تقريظ لرسالة الشيخ البرجس إيقاف النبيل على حكم التمثيل - part 5,,Maktaba Shamela,General,90
15,Title Variant / Disambiguated (2),43514,05 تق تقريظ لرسالة الشيخ البرجس إيقاف النبيل على حكم التمثيل - part 6,,Maktaba Shamela,General,500
15,Title Variant / Disambiguated (2),43515,05 تق تقريظ لرسالة الشيخ البرجس إيقاف النبيل على حكم التمثيل - part 7,,Maktaba Shamela,General,104
15,Title Variant / Disambiguated (2),43516,05 تق تقريظ لرسالة الشيخ البرجس إيقاف النبيل على حكم التمثيل - part 8,,Maktaba Shamela,General,500
15,Title Variant / Disambiguated (2),43517,05 تق تقريظ لرسالة الشيخ البرجس إيقاف النبيل على حكم التمثيل - part 9,,Maktaba Shamela,General,98
15,Title Variant / Disambiguated (2),43518,05 تق تقريظ لرسالة الشيخ البرجس إيقاف النبيل على حكم التمثيل - part 10,,Maktaba Shamela,General,500
15,Title Variant / Disambiguated (2),43519,05 تق تقريظ لرسالة الشيخ البرجس إيقاف النبيل على حكم التمثيل - part 11,,Maktaba Shamela,General,99
15,Title Variant / Disambiguated (2),43520,05 تق تقريظ لرسالة الشيخ البرجس إيقاف النبيل على حكم التمثيل - part 12,,Maktaba Shamela,General,500
15,Title Variant / Disambiguated (2),43521,05 تق تقريظ لرسالة الشيخ البرجس إيقاف النبيل على حكم التمثيل - part 13,,Maktaba Shamela,General,114
15,Title Variant / Disambiguated (2),43522,05 تق تقريظ لرسالة الشيخ البرجس إيقاف النبيل على حكم التمثيل - part 14,,Maktaba Shamela,General,500
15,Title Variant / Disambiguated (2),43523,05 تق تقريظ لرسالة الشيخ البرجس إيقاف النبيل على حكم التمثيل - part 15,,Maktaba Shamela,General,96
15,Title Variant / Disambiguated (2),43524,05 تق تقريظ لرسالة الشيخ البرجس إيقاف النبيل على حكم التمثيل - part 16,,Maktaba Shamela,General,500
15,Title Variant / Disambiguated (2),43525,05 تق تقريظ لرسالة الشيخ البرجس إيقاف النبيل على حكم التمثيل - part 17,,Maktaba Shamela,General,100
15,Title Variant / Disambiguated (2),43526,05 تق تقريظ لرسالة الشيخ البرجس إيقاف النبيل على حكم التمثيل - part 18,,Maktaba Shamela,General,500
15,Title Variant / Disambiguated (2),43527,05 تق تقريظ لرسالة الشيخ البرجس إيقاف النبيل على حكم التمثيل - part 19,,Maktaba Shamela,General,128
15,Title Variant / Disambiguated (2),43528,05 تق تقريظ لرسالة الشيخ البرجس إيقاف النبيل على حكم التمثيل - part 20,,Maktaba Shamela,General,500
15,Title Variant / Disambiguated (2),43529,05 تق تقريظ لرسالة الشيخ البرجس إيقاف النبيل على حكم التمثيل - part 21,,Maktaba Shamela,General,95
16,Title Variant / Disambiguated (2),21828,057 م براءة أهل السنة مما نسبه إليهم ذو الفتنة - part 1,,Maktaba Shamela,General,547
16,Title Variant / Disambiguated (2),21829,057 م براءة أهل السنة مما نسبه إليهم ذو الفتنة - part 2,,Maktaba Shamela,General,664
17,Title Variant / Disambiguated (2),73646,06 أش التوحيد أولا - part 1,,Maktaba Shamela,General,330
17,Title Variant / Disambiguated (2),73647,06 أش التوحيد أولا - part 2,,Maktaba Shamela,General,329
18,Title Variant / Disambiguated (2),85209,06 تق تقديم الشيخ لمجلة منابر الهدى الجزائرية - part 1,,Maktaba Shamela,General,500
18,Title Variant / Disambiguated (2),85210,06 تق تقديم الشيخ لمجلة منابر الهدى الجزائرية - part 2,,Maktaba Shamela,General,119
18,Title Variant / Disambiguated (2),85211,06 تق تقديم الشيخ لمجلة منابر الهدى الجزائرية - part 3,,Maktaba Shamela,General,500
18,Title Variant / Disambiguated (2),85212,06 تق تقديم الشيخ لمجلة منابر الهدى الجزائرية - part 4,,Maktaba Shamela,General,117
18,Title Variant / Disambiguated (2),85213,06 تق تقديم الشيخ لمجلة منابر الهدى الجزائرية - part 5,,Maktaba Shamela,General,500
18,Title Variant / Disambiguated (2),85214,06 تق تقديم الشيخ لمجلة منابر الهدى الجزائرية - part 6,,Maktaba Shamela,General,121
18,Title Variant / Disambiguated (2),85215,06 تق تقديم الشيخ لمجلة منابر الهدى الجزائرية - part 7,,Maktaba Shamela,General,273
19,Title Variant / Disambiguated (2),43573,068 م تنبيه الدكتورالقاري إلى خطورة قوله إن التصوف الصحيح هو عين التوحيد ومن مذاهب أهل السنة - part 1,,Maktaba Shamela,General,731
19,Title Variant / Disambiguated (2),43574,068 م تنبيه الدكتورالقاري إلى خطورة قوله إن التصوف الصحيح هو عين التوحيد ومن مذاهب أهل السنة - part 2,,Maktaba Shamela,General,479
19,Title Variant / Disambiguated (2),43575,068 م تنبيه الدكتورالقاري إلى خطورة قوله إن التصوف الصحيح هو عين التوحيد ومن مذاهب أهل السنة - part 3,,Maktaba Shamela,General,523
19,Title Variant / Disambiguated (2),43576,068 م تنبيه الدكتورالقاري إلى خطورة قوله إن التصوف الصحيح هو عين التوحيد ومن مذاهب أهل السنة - part 4,,Maktaba Shamela,General,603
19,Title Variant / Disambiguated (2),43577,068 م تنبيه الدكتورالقاري إلى خطورة قوله إن التصوف الصحيح هو عين التوحيد ومن مذاهب أهل السنة - part 5,,Maktaba Shamela,General,493
19,Title Variant / Disambiguated (2),43578,068 م تنبيه الدكتورالقاري إلى خطورة قوله إن التصوف الصحيح هو عين التوحيد ومن مذاهب أهل السنة - part 6,,Maktaba Shamela,General,588
19,Title Variant / Disambiguated (2),43579,068 م تنبيه الدكتورالقاري إلى خطورة قوله إن التصوف الصحيح هو عين التوحيد ومن مذاهب أهل السنة - part 7,,Maktaba Shamela,General,540
19,Title Variant / Disambiguated (2),43580,068 م تنبيه الدكتورالقاري إلى خطورة قوله إن التصوف الصحيح هو عين التوحيد ومن مذاهب أهل السنة - part 8,,Maktaba Shamela,General,532
20,Title Variant / Disambiguated (2),106442,07 تق تقريظ لكتاب المورد العذب الزلال للشيخ أحمد النجمي - part 1,,Maktaba Shamela,General,524
20,Title Variant / Disambiguated (2),106443,07 تق تقريظ لكتاب المورد العذب الزلال للشيخ أحمد النجمي - part 2,,Maktaba Shamela,General,554
20,Title Variant / Disambiguated (2),106444,07 تق تقريظ لكتاب المورد العذب الزلال للشيخ أحمد النجمي - part 3,,Maktaba Shamela,General,526
20,Title Variant / Disambiguated (2),106445,07 تق تقريظ لكتاب المورد العذب الزلال للشيخ أحمد النجمي - part 4,,Maktaba Shamela,General,684
20,Title Variant / Disambiguated (2),106446,07 تق تقريظ لكتاب المورد العذب الزلال للشيخ أحمد النجمي - part 5,,Maktaba Shamela,General,333
21,Title Variant / Disambiguated (2),52620,087 م الانتصار للرسول المختار - part 1,,Maktaba Shamela,General,500
21,Title Variant / Disambiguated (2),52621,087 م الانتصار للرسول المختار - part 2,,Maktaba Shamela,General,336
22,Title Variant / Disambiguated (2),83895,094 م أبو الحسن المأربي يحامي بالخيانة والبهتان عمن يدعو إلى حرية وأخوة الأديان - part 1,,Maktaba Shamela,General,256
22,Title Variant / Disambiguated (2),83896,094 م أبو الحسن المأربي يحامي بالخيانة والبهتان عمن يدعو إلى حرية وأخوة الأديان - part 2,,Maktaba Shamela,General,462
22,Title Variant / Disambiguated (2),83897,094 م أبو الحسن المأربي يحامي بالخيانة والبهتان عمن يدعو إلى حرية وأخوة الأديان - part 3,,Maktaba Shamela,General,364
23,Exact Title Match,14540,09۔ معراجِ مصطفی۔ اکرم بشیر,,Jumma Bayanat,General,0
23,Exact Title Match,15254,09۔ معراجِ مصطفی۔ اکرم بشیر,,Jumma Bayanat,General,0
24,Title Variant / Disambiguated (2),95684,1 توحيد الله في أسمائه - part 1,,Maktaba Shamela,General,13
24,Title Variant / Disambiguated (2),95685,1 توحيد الله في أسمائه - part 2,,Maktaba Shamela,General,18
24,Title Variant / Disambiguated (2),95686,1 توحيد الله في أسمائه - part 3,,Maktaba Shamela,General,16
25,Title Variant / Disambiguated (2),53783,10 تق تقديم لكتاب كشف الحجاب عن كتاب الدعاء المستجاب لخالد الردادي - part 1,,Maktaba Shamela,General,702
25,Title Variant / Disambiguated (2),53784,10 تق تقديم لكتاب كشف الحجاب عن كتاب الدعاء المستجاب لخالد الردادي - part 2,,Maktaba Shamela,General,686
25,Title Variant / Disambiguated (2),53785,10 تق تقديم لكتاب كشف الحجاب عن كتاب الدعاء المستجاب لخالد الردادي - part 3,,Maktaba Shamela,General,762
25,Title Variant / Disambiguated (2),53786,10 تق تقديم لكتاب كشف الحجاب عن كتاب الدعاء المستجاب لخالد الردادي - part 4,,Maktaba Shamela,General,696
25,Title Variant / Disambiguated (2),53787,10 تق تقديم لكتاب كشف الحجاب عن كتاب الدعاء المستجاب لخالد الردادي - part 5,,Maktaba Shamela,General,773
25,Title Variant / Disambiguated (2),53788,10 تق تقديم لكتاب كشف الحجاب عن كتاب الدعاء المستجاب لخالد الردادي - part 6,,Maktaba Shamela,General,772
25,Title Variant / Disambiguated (2),53789,10 تق تقديم لكتاب كشف الحجاب عن كتاب الدعاء المستجاب لخالد الردادي - part 7,,Maktaba Shamela,General,781
25,Title Variant / Disambiguated (2),53790,10 تق تقديم لكتاب كشف الحجاب عن كتاب الدعاء المستجاب لخالد الردادي - part 8,,Maktaba Shamela,General,574
26,Exact Title Match,42055,100 فائدة من سورة يوسف,,Maktaba Shamela,General,195
26,Exact Title Match,60329,100 فائدة من سورة يوسف,,Maktaba Shamela,General,64
27,Exact Title Match,21892,100 فكرة لتربية الأسرة,,Maktaba Shamela,General,209
27,Exact Title Match,24406,100 فكرة لتربية الأسرة,,Maktaba Shamela,General,31
28,Exact Title Match,44938,1000 سنة,,Maktaba Shamela,General,30
28,Exact Title Match,52576,1000 سنة,,Maktaba Shamela,General,398
29,Exact Title Match,14541,10۔ معراج کا پیغام اور سبق۔ اکرم بشیر,,Jumma Bayanat,General,0
29,Exact Title Match,15255,10۔ معراج کا پیغام اور سبق۔ اکرم بشیر,,Jumma Bayanat,General,0
30,Title Variant / Disambiguated (2),83820,11 أيلول اختطاف العالم - part 1,,Maktaba Shamela,General,389
30,Title Variant / Disambiguated (2),83821,11 أيلول اختطاف العالم - part 2,,Maktaba Shamela,General,636
30,Title Variant / Disambiguated (2),83822,11 أيلول اختطاف العالم - part 3,,Maktaba Shamela,General,522
31,Title Variant / Disambiguated (2),84851,11 تق تقديم لكتاب زوابع في وجه السنة قديما وحديثا للشيخ صلاح الدين مقبول أحمد - part 1,,Maktaba Shamela,General,700
31,Title Variant / Disambiguated (2),84852,11 تق تقديم لكتاب زوابع في وجه السنة قديما وحديثا للشيخ صلاح الدين مقبول أحمد - part 2,,Maktaba Shamela,General,886
31,Title Variant / Disambiguated (2),84853,11 تق تقديم لكتاب زوابع في وجه السنة قديما وحديثا للشيخ صلاح الدين مقبول أحمد - part 3,,Maktaba Shamela,General,938
31,Title Variant / Disambiguated (2),84854,11 تق تقديم لكتاب زوابع في وجه السنة قديما وحديثا للشيخ صلاح الدين مقبول أحمد - part 4,,Maktaba Shamela,General,662
31,Title Variant / Disambiguated (2),84855,11 تق تقديم لكتاب زوابع في وجه السنة قديما وحديثا للشيخ صلاح الدين مقبول أحمد - part 5,,Maktaba Shamela,General,635
31,Title Variant / Disambiguated (2),84856,11 تق تقديم لكتاب زوابع في وجه السنة قديما وحديثا للشيخ صلاح الدين مقبول أحمد - part 6,,Maktaba Shamela,General,486
31,Title Variant / Disambiguated (2),84857,11 تق تقديم لكتاب زوابع في وجه السنة قديما وحديثا للشيخ صلاح الدين مقبول أحمد - part 7,,Maktaba Shamela,General,611
31,Title Variant / Disambiguated (2),84858,11 تق تقديم لكتاب زوابع في وجه السنة قديما وحديثا للشيخ صلاح الدين مقبول أحمد - part 8,,Maktaba Shamela,General,904
31,Title Variant / Disambiguated (2),84859,11 تق تقديم لكتاب زوابع في وجه السنة قديما وحديثا للشيخ صلاح الدين مقبول أحمد - part 9,,Maktaba Shamela,General,833
31,Title Variant / Disambiguated (2),84860,11 تق تقديم لكتاب زوابع في وجه السنة قديما وحديثا للشيخ صلاح الدين مقبول أحمد - part 10,,Maktaba Shamela,General,941
31,Title Variant / Disambiguated (2),84861,11 تق تقديم لكتاب زوابع في وجه السنة قديما وحديثا للشيخ صلاح الدين مقبول أحمد - part 11,,Maktaba Shamela,General,570
32,Exact Title Match,17318,11 وسيلة للتأثير على القلوب,,Maktaba Shamela,General,6
32,Exact Title Match,61866,11 وسيلة للتأثير على القلوب,,Maktaba Shamela,General,5
32,Exact Title Match,64315,11 وسيلة للتأثير على القلوب,,Maktaba Shamela,General,26
33,Title Variant / Disambiguated (2),53775,12 تق تقديم الشيخ لرسالة الأدلة اللماعة على وجوب صلاة الجماعة للأخ محمود الجزائري - part 1,,Maktaba Shamela,General,400
33,Title Variant / Disambiguated (2),53776,12 تق تقديم الشيخ لرسالة الأدلة اللماعة على وجوب صلاة الجماعة للأخ محمود الجزائري - part 2,,Maktaba Shamela,General,397
33,Title Variant / Disambiguated (2),53777,12 تق تقديم الشيخ لرسالة الأدلة اللماعة على وجوب صلاة الجماعة للأخ محمود الجزائري - part 3,,Maktaba Shamela,General,369
33,Title Variant / Disambiguated (2),53778,12 تق تقديم الشيخ لرسالة الأدلة اللماعة على وجوب صلاة الجماعة للأخ محمود الجزائري - part 4,,Maktaba Shamela,General,403
33,Title Variant / Disambiguated (2),53779,12 تق تقديم الشيخ لرسالة الأدلة اللماعة على وجوب صلاة الجماعة للأخ محمود الجزائري - part 5,,Maktaba Shamela,General,333
33,Title Variant / Disambiguated (2),53780,12 تق تقديم الشيخ لرسالة الأدلة اللماعة على وجوب صلاة الجماعة للأخ محمود الجزائري - part 6,,Maktaba Shamela,General,315
